university_id,university_name,university_global_rank,course_program_label,parent_course_name
2786,"Southern Illinois University, Edwardsville",,MS in Computer Science,Computer Science
2803,Towson University,,MS in Computer Science,Computer Science
2769,Sacred Heart University,,MS in Computer Science and Information Technology,Computer Science
4640,Austin Peay State University,,MS in Computer Science and Quantitative Methods (Data Management and Analysis),Computer Science
4640,Austin Peay State University,,MS in Computer Science and Quantitative Methods: Mathematics Instruction,Computer Science
3244,Southeast Missouri State University,,MS in Applied Computer Science,Computer Science
2745,Monmouth University,,MS in Computer Science,Computer Science
3742,"Missouri State University, Springfield",,MS in Computer Science,Computer Science
3721,"Northeastern University, Seattle",,MS in Computer Science,Computer Science
3891,Idaho State University,,MS in Computer Science,Computer Science
2661,Arkansas State University,,MS in Computer Science,Computer Science
2798,Texas State University,,MS in Computer Science (Non-thesis),Computer Science
2798,Texas State University,,MS in Computer Science - Software Engineering (Non-Thesis),Computer Science
2811,The University of Central Missouri,,MS in Computer Science,Computer Science
3722,"Northeastern University, Silicon Valley",,MS in Computer Science,Computer Science
3722,"Northeastern University, Silicon Valley",,MS in Computer Science (Align),Computer Science
4581,"Northeastern University, Portland",,MS in Computer Science,Computer Science
2795,Texas A&M University - Corpus Christi,,MS in Computer Science,Computer Science
3118,City University of Seattle,,MS in Computer Science,Computer Science
2693,"City University Of New York, Staten Island",,MS in Computer Science,Computer Science
2692,"City University Of New York, Queens College",,MA in Computer Science,Computer Science
3146,Central Connecticut State University,,MS in Computer Information Technology,Computer Science
2646,University of Tulsa,,MS in Computer Science,Computer Science
2797,Texas Southern University,,MS in Computer Science (Thesis),Computer Science
2744,Mississippi College,,MS in Computer Science,Computer Science
4948,"Concordia University, Wisconsin",,MS in Computer Science,Computer Science
2707,Fairleigh Dickinson University,,Graduate certificate in Computer Security,Computer Science
2739,Metropolitan State University,,MS in Computer Science,Computer Science
3158,Purdue University Northwest,,MS in Computer Science ,Computer Science
2746,Montclair State University,,MS in Computer Science,Computer Science
2730,Kutztown University of Pennsylvania,,MS in Computer Science - Information Technology,Computer Science
2728,Kennesaw State University,,MS in Computer Science,Computer Science
2763,Pace University,,MS in Computer Science,Computer Science
2734,"Long Island University, Brooklyn",,MS in Computer Science,Computer Science
2694,Clark Atlanta University,,MS in Computer Science,Computer Science
3255,Clark University,,MS in Computer Science,Computer Science
3249,Loyola Marymount University,,MS in Computer Science,Computer Science
2698,Dakota State University,,MS in Computer Science,Computer Science
3253,Saginaw Valley State University,,MS in Computer Science and Information Systems,Computer Science
4581,"Northeastern University, Portland",,MS in Computer Science (Align),Computer Science
3151,Embry Riddle Aeronautical University,,MS in Computer Science ,Computer Science
4584,"Rutgers University, Camden",,MS in Computer Science - Scientific Computing,Computer Science
2709,Florida Agricultural and Mechanical University,,MS in Computer Science,Computer Science
2723,Hood College,,MS in Computer Science,Computer Science
3575,Lewis University,,MS in Computer Science,Computer Science
2768,Rowan University,,MS in Computer Science,Computer Science
2741,Middle Tennessee State University,,MS in Computer Science,Computer Science
2793,Tennessee Technological University,,MS in Computer Science - Non Thesis,Computer Science
4509,Tennessee State University,,MS in Computer Science,Computer Science
2724,Indiana State University,,MS in Computer Science,Computer Science
2732,Lamar University,,MS in Computer Science (Non-Thesis),Computer Science
3173,St. John's University,,MS in Computer Science,Computer Science
4156,Florida Polytechnic University,,MSc in Computer Science (Thesis ),Computer Science
3148,Columbus State University,,MS in Applied Computer Science,Computer Science
2666,Bowie State University,,MS in Computer Science,Computer Science
4220,"Concordia University, Chicago",,MS in Computer Science,Computer Science
2721,Hampton University,,MS in Computer Science,Computer Science
3721,"Northeastern University, Seattle",,MS in Computer Science (Align),Computer Science
2707,Fairleigh Dickinson University,,MS in Computer Science,Computer Science
2707,Fairleigh Dickinson University,,Graduate certificate in Advanced Computer Programming,Computer Science
2765,Prairie View A&M University,,MS in Computer Science,Computer Science
3271,Duquesne University,,MS in Computer Science,Computer Science
2735,Louisiana Tech University,,MS in Computer Science,Computer Science
2708,"Fairleigh Dickinson University, Florham",,MS in Computer Science,Computer Science
2757,Northwest Missouri State University,,MS in Applied Computer Science,Computer Science
3242,University of Central Oklahoma,,MS in Computer Science,Computer Science
2752,North Carolina Agricultural and Technical State University,,MS in Computer Science,Computer Science
2843,University of the Pacific,,MS in Computer Science,Computer Science
2699,Delaware State University,,MS in Computer Science,Computer Science
2660,Appalachian State University,,MS in Computer Science,Computer Science
2836,"University of Southern Mississippi, Gulf Coast",,MS in Computer Science,Computer Science
2858,West Chester University of Pennsylvania,,MS in Computer Science,Computer Science
2791,State University of New York (Albany),,MS in Computer Science,Computer Science
2764,Penn State Harrisburg,,MS in Computer Science,Computer Science
2845,"University of Washington, Tacoma",,MS in Computer Science and Systems,Computer Science
3774,Harrisburg University of Science and Technology,,MS in Computer Information Sciences,Computer Science
2676,"California State University, Dominguez Hills",,MS in Computer Science,Computer Science
2818,University of Maryland Eastern Shore,,MS in Applied Computer Science,Computer Science
2783,Southern Adventist University,,MS in Computer Science,Computer Science
3525,International Technological University,,MS in Computer Science,Computer Science
2761,Oklahoma City University,,MS in Computer Science,Computer Science
2726,Jackson State University,,MS in Computer Science,Computer Science
2789,Southern University and A&M College,,MS in Computer Science,Computer Science
2790,St. Cloud State University,,MS in Computer Science,Computer Science
5351,"Northeastern University, Miami",,MS in Computer Science   ,Computer Science
4078,Purdue University Fort Wayne,,MS in Computer Science,Computer Science
5351,"Northeastern University, Miami",,MS in Computer Science (Align),Computer Science
5351,"Northeastern University, Miami",,MS in Computer Science   ,Computer Science
5351,"Northeastern University, Miami",,MS in Computer Science   ,Computer Science
5351,"Northeastern University, Miami",,MS in Computer Science   ,Computer Science
4203,Mercy University,,MS in Computer Science,Computer Science
3119,State University of New York Polytechnic Institute,,MS in Computer Science,Computer Science
2771,"St. Marys University, Texas",,MS in Computer Science,Computer Science
3725,Oklahoma Christian University,,MS in Computer Science,Computer Science
4437,Texas A&M University - San Antonio,,MS in Computer Science,Computer Science
4184,Saint Leo University,,MS in Computer Science,Computer Science
5301,San Francisco Bay University,,MS in Computer Science,Computer Science
3856,Westcliff University,,MS in Computer Science,Computer Science
2690,"City University Of New York, Brooklyn College",,MS in Computer Science,Computer Science
5077,Charleston Southern University,,MS in Computer Science,Computer Science
